"id","concession","area","sitecode","stopname","roadname","towards","coordinates"
1,"NDMC","Central","A-01-P","Bangla Sahib","Ashoka Road","Shangrila Hotel","28.625487, 77.209360"
2,"NDMC","Central","A-02-P","Bangla Sahib","Ashoka Road","Gole Dakkhana","28.625171, 77.209634"
3,"NDMC","Central","A-03-P","Patel Chowk","Ashoka Road","Shangrila Hotel","28.624644, 77.210840"
4,"NDMC","Central","A-04-P","Patel Chowk","Ashoka Road","Gole dakkhana","28.622157, 77.214894"
5,"NDMC","Central","A-05-P","Patel Chowk","Ashoka Road","Shangrila Hotel","28.622753, 77.214158"
6,"NDMC","Central","A-06-P","Gurudwara Bangla Sahib","Ashoka Road","Gole dakkhana","28.628274, 77.209759"
7,"NDMC","Central","A-07-P","Gurudwara Bangla Sahib","Baba Kharak Singh Marg","Connaught Place","28.628331, 77.209535"
8,"NDMC","Central","A-08-P","R M L Hospital","Baba Kharak Singh Marg","Mother Teresa Crescent","28.624724, 77.201808"
9,"NDMC","Central","A-08 A-P","Marina Hotel","Chelmsford Road","Railway Station","28.636580, 77.218366"
10,"NDMC","Central","A-09-P","Marina Hotel","Chelmsford Road","Connaught Place","28.636997, 77.218455"
11,"NDMC","Central","A-10-P","NDPO","Baba Kharak Singh Marg","Mother Teresa Crescent","28.626388, 77.205460"
12,"NDMC","Central","A-11-P","Gole Market","Bhai Vir Singh Marg","Gole Dakkhana","28.632174, 77.205484"
13,"NDMC","Central","A-12-P","Gole Market","Bhai Vir Singh Marg","Gole Market","28.632139, 77.205307"
14,"NDMC","Central","A-13-P","St Columbus school","Bhai Vir Singh Marg","Gole dakkhana","28.628963, 77.205324"
15,"NDMC","Central","A-14-P","Krishi Bhawan","Dr R P Road","Rail Bhawan","28.616868, 77.213796"
16,"NDMC","Central","A-15-P","Krishi Bhawan","Dr R P Road","India Gate circle","28.616959, 77.214006"
17,"NDMC","Central","A-16-P","Firoz Shah Road","Firoz Shah Road","Janpath Road","28.620919, 77.221298"
18,"NDMC","Central","A-17-P","Firoz Shah Road","Firoz Shah Road","Mandi House","28.620783, 77.221533"
19,"NDMC","Central","A-18-P","K G X ing","Firoz Shah Road","Mandi House","28.623359, 77.226508"
20,"NDMC","Central","A-19-P","Mandi House","Firoz Shah Road","Janpath Road","28.625105, 77.230658"
21,"NDMC","Central","A-20-P","YMCA","Jai Singh Road","Palika Kendra","28.626208, 77.212387"
22,"NDMC","Central","A-21-P","Palika Kendra","Jai Singh Road","Ashoka Road","28.626549, 77.213232"
23,"NDMC","Central","A-22P","Eastern Court","Janpath","Janpath","28.622259, 77.219100"
24,"NDMC","Central","A-23P","Western Court","Janpath","Janpath","28.621751, 77.218925"
25,"NDMC","Central","A-24-P","Baroda House","K G Marg","Connaught Place","28.617170, 77.228567"
26,"NDMC","Central","A-25-P","Baroda House","K G Marg","India Gate circle","28.617546, 77.228536"
27,"NDMC","Central","A-26-P","Bhartiya Vidya Bhawan","K G Marg","India Gate","28.621924, 77.226034"
28,"NDMC","Central","A-27-P","Max Mueller Bhawan","K G Marg","India Gate circle","28.624580, 77.224484"
29,"NDMC","Central","A-28-P","Scindia House","K G Marg","India Gate circle","28.628483, 77.222263"
30,"NDMC","Central","A-29-P","Scindia House","K G Marg","Connaught Place","28.628650, 77.221974"
31,"NDMC","Central","A-30-P","Scindia House","K G Marg","Connaught Place","28.629411, 77.221529"
32,"NDMC","Central","A-31-P","Balmiki Mandir","Mandir Marg","Talkatora Stadium","28.640004, 77.204553"
33,"NDMC","Central","A-32-P","Laxmi Narayan Mandir","Mandir Marg","Panchkuian Road","28.633534, 77.199958"
34,"NDMC","Central","A-33-P","Laxmi Narayan Mandir","Mandir Marg","Talkatora Stadium","28.632548, 77.199381"
35,"NDMC","Central","A-34-P","P S Mandir Marg","Mandir Marg","Panchkuian Road","28.638459, 77.203237"
36,"NDMC","Central","A-35-P","P S Mandir Marg","Mandir Marg","Talkatora Stadium","28.638185, 77.203269"
37,"NDMC","Central","A-36-P","North Avenue","North Avenue","R M L Hospital","28.620991, 77.199870"
38,"NDMC","Central","A-37-P","North Avenue","North Avenue","Rashtrapati Bhawan","28.621379, 77.199950"
39,"NDMC","Central","A-38-P","Kendriya Terminal","Pandit Pant Marg","Gole dakkhana","28.621570, 77.206285"
40,"NDMC","Central","A-39-P","Kendriya Terminal","Pandit Pant Marg","Gole dakkhana","28.619425, 77.206146"
41,"NDMC","Central","A-40-P","Kendriya Terminal","Pandit Pant Marg","Rashtrapati Bhawan","28.623625, 77.206437"
42,"NDMC","Central","A-41-P","NDPO","Pandit Pant Marg","Rashtrapati Bhawan","28.625034, 77.206570"
43,"NDMC","Central","A-42-P","NDPO","Pandit Pant Marg","Gole dakkhana","28.625519, 77.206461"
44,"NDMC","Central","A-43-P","R M L Hospital","Park Street","North Avenue","28.625318, 77.198163"
45,"NDMC","Central","A-44-P","R M L Hospital","Park Street","Shankar Road","28.625285, 77.197899"
46,"NDMC","Central","A-45-P","Talkatora Stadium","Park Street","Shankar Road","28.626100, 77.196462"
47,"NDMC","Central","A-46-P","Talkatora Stadium","Park Street","North Avenue","28.626383, 77.196390"
48,"NDMC","Central","A-47-P","Gole Market","Peshwa Road","Connaught Place","28.635248, 77.203016"
49,"NDMC","Central","A-48-P","Gole Market","Peshwa Road","Mandir Marg","28.634886, 77.203429"
50,"NDMC","Central","A-49-P","Akaswani Bhawan","Rafi Ahmed Kidwai Marg","Udyog Bhawan","28.620827, 77.212549"
51,"NDMC","Central","A-50-P","Gole Market","R K Ashram Marg","Punchkuyan Road","28.635134, 77.205498"
52,"NDMC","Central","A-51-P","Gole Market","R K Ashram Marg","Punchkuyan Road","28.637594, 77.207195"
53,"NDMC","Central","A-52-P","Shaheed Bhagat Singh Marg","Shaheed Bhagat Singh Marg","Gole Market","28.633447, 77.209338"
54,"NDMC","Central","A-53-P","Shaheed Bhagat Singh Marg","Shaheed Bhagat Singh Marg","Gole Market","28.633478, 77.208797"
55,"NDMC","Central","A-54-P","Shivaji Stadium","Shaheed Bhagat Singh Marg","Gole Market","28.633083, 77.215327"
56,"NDMC","Central","A-55-P","Shaheed Bhagat Singh Marg","Shaheed Bhagat Singh Marg","Gole Market","28.633211, 77.213173"
57,"NDMC","Central","A-56-P","Patiala House","Tilak Marg","India Gate circle","28.616739, 77.234100"
58,"NDMC","Central","A-57-P","Patiala House (Scroller)","Tilak Marg","ITO","28.616448, 77.233708"
59,"NDMC","Central","A-58-P","Tilak Bridge","Tilak Marg","India Gate circle","28.624172, 77.239580"
60,"NDMC","Central","A-59-P","Tilak Bridge","Tilak Marg","ITO","28.623951, 77.239259"
61,"NDMC","Central","B-01-P","M Block","Africa Avenue","Mahatma Gandhi Marg","28.578548, 77.189889"
62,"NDMC","Central","B-02-P","M Block","Africa Avenue","Leela Hotel","28.578554, 77.189746"
63,"NDMC","Central","B-03-P","S N Depot","Africa Avenue","Leela Hotel","28.573935, 77.189827"
64,"NDMC","Central","B-04-P","S N Depot","Africa Avenue","Leela Hotel","28.574569, 77.189860"
65,"NDMC","Central","B-05-P","S N Depot","Africa Avenue","Mahatma Gandhi Marg (Ring","28.573834, 77.189979"
66,"NDMC","Central","B-06-P","Yusuf Sarai","Aurobindo Marg","IIT Gate","28.562783, 77.207592"
67,"NDMC","Central","B-07-P","Yusuf Sarai","Aurobindo Marg","S J Madarsa","28.562153, 77.207336"
68,"NDMC","Central","B-09-P","INA Colony","Aurobindo Marg","Mahatma Gandhi Marg (Ring","28.576696, 77.210517"
69,"NDMC","Central","B-16 A-P","Kidwai Nagar","Aurobindo Marg","S J Madarsa","28.573746, 77.209324"
70,"NDMC","Central","B-16 B-P","S J Airport","Aurobindo Marg","S J Madarsa","28.585329, 77.212363"
71,"NDMC","Central","B-17A-P","S J Airport","Aurobindo Marg","Mahatma Gandhi Marg (Ring","28.584280, 77.212546"
72,"NDMC","Central","B-17B-P","S J Airport","Aurobindo Marg","Mahatma Gandhi Marg (Ring","28.583715, 77.212547"
73,"NDMC","Central","B-18-P","S J Madarsa","Aurobindo Marg","S J Madarsa","28.587571, 77.212638"
74,"NDMC","Central","B-19-P","S J Madarsa","Aurobindo Marg","Mahatma Gandhi Marg (Ring","28.588498, 77.212872"
75,"NDMC","Central","B-20-P","P S Sarojini Nagar","B Avenue","Mahatma Gandhi Marg (Ring","28.575601, 77.199024"
76,"NDMC","Central","B-21-P","P S Sarojini Nagar","B Avenue","Brig Hosiyar Singh Marg","28.574978, 77.199016"
77,"NDMC","Central","B-22-P","S N Market","B Avenue","Mahatma Gandhi Marg (Ring","28.578094, 77.198909"
78,"NDMC","Central","B-23-P","S N Market","B Avenue","Brig Hosiyar Singh Marg","28.577435, 77.198906"
79,"NDMC","Central","B-24-P","Pillanji Village","Brig Hoshiyar Singh Marg","Leela Hotel","28.579726, 77.199678"
80,"NDMC","Central","B-25-P","Pillanji Village","Brig Hoshiyar Singh Marg","Aurobindo Marg","28.579796, 77.199209"
81,"NDMC","Central","B-26-P","I Block","Brig Hoshiyar Singh Marg","Leela Hotel","28.579512, 77.193202"
82,"NDMC","Central","B-27-P","I Block","Brig Hoshiyar Singh Marg","Aurobindo Marg","28.579563, 77.191970"
83,"NDMC","Central","B-28-P","INA Market","Brig Hoshiyar Singh Marg","Aurobindo Marg","28.579400, 77.208395"
84,"NDMC","Central","B-29-P","INA Market","Brig Hoshiyar Singh Marg","Leela Hotel","28.579248, 77.209159"
85,"NDMC","Central","B-30-P","Laxmi Bai Nagar","Brig Hoshiyar Singh Marg","Leela Hotel","28.579638, 77.204918"
86,"NDMC","Central","B-31-P","Laxmi Bai Nagar","Brig Hoshiyar Singh Marg","Aurobindo Marg","28.579786, 77.204362"
87,"NDMC","Central","B-32-P","S N Market","Brig Hoshiyar Singh Marg","Leela Hotel","28.579589, 77.197371"
88,"NDMC","Central","B-33-P","S N Market","Brig Hoshiyar Singh Marg","Aurobindo Marg","28.579724, 77.196755"
89,"NDMC","Central","B-34-P","Golf Club","Dr Zakir Hussain Marg","Nizamuddin","28.600907, 77.238381"
90,"NDMC","Central","B-35-P","Golf Club","Dr Zakir Hussain Marg","India Gate circle","28.601203, 77.237978"
91,"NDMC","Central","B-36-P","Jaipur House","Dr Zakir Hussain Marg","Nizamuddin","28.609113, 77.233289"
92,"NDMC","Central","B-37-P","Jaipur House","Dr Zakir Hussain Marg","India Gate circle","28.608839, 77.233354"
93,"NDMC","Central","B-39-P","Sujan Singh Park","Subramanium Bharti Marg","Lodhi Garden","28.601016, 77.229473"
94,"NDMC","Central","B-40-P","National Museum","Janpath","Rajesh pilot Marg","28.611593, 77.218389"
95,"NDMC","Central","B-41-P","National Museum","Janpath","Connaught Place","28.611271, 77.218283"
96,"NDMC","Central","B-42-P","Lodhi Colony","Jor Bagh Road","P S Lodhi Colony","28.585950, 77.220773"
97,"NDMC","Central","B-43-P","Lodhi Colony","Jor Bagh Road","Aurobindo Marg","28.585992, 77.221476"
98,"NDMC","Central","B-44-P","G Block","K Kamraj Marg","Janpath Road","28.609583, 77.209721"
99,"NDMC","Central","B-45-P","G Block","K Kamraj Marg","South Avenue","28.609590, 77.209791"
100,"NDMC","Central","B-46-P","Lodhi Colony Market","Lodhi Colony Market","Lodhi Colony","28.584537, 77.223477"
101,"NDMC","Central","B-47-P","Lodhi Colony Market","Lodhi Colony Market","JLN Stadium","28.584555, 77.223488"
102,"NDMC","Central","B-48-P","Lodhi Garden","Lodhi Road","Nizamuddin Railway Colony","28.590277, 77.220258"
103,"NDMC","Central","B-49-P","Mausam Bhawan","Lodhi Road","S J Madarsa","28.590218, 77.221024"
104,"NDMC","Central","B-50-P","Bharti Nagar","Maharishi Raman Marg","Khan Mkt","28.597541, 77.228478"
105,"NDMC","Central","B-51-P","Bharti Nagar","Maharishi Raman Marg","Lodhi Road","28.597291, 77.228661"
106,"NDMC","Central","B-52-P","Sujan Singh Park","Maharishi Raman Marg","Lodhi Colony","28.599269, 77.228597"
107,"NDMC","Central","B-53-P","Sujan Singh Park","Maharishi Raman Marg","Khan Mkt","28.599123, 77.228375"
108,"NDMC","Central","B-54-P","Dayal Singh College","Maharishi Raman Marg","Khan Mkt","28.592386, 77.228726"
109,"NDMC","Central","B-55-P","Dayal Singh College","Maharishi Raman Marg","Lodhi Road","28.592422, 77.228916"
110,"NDMC","Central","B-56-P","Nirman Bhawan","Maulana Azad Marg","K Kamraj Marg","28.610208, 77.217447"
111,"NDMC","Central","B-57-P","Nirman Bhawan","Maulana Azad Marg","India Gate circle","28.610295, 77.217476"
112,"NDMC","Central","B-58-P","Lodhi Road X ing","Max Mueller Marg","Lodhi Colony","28.591431, 77.223641"
113,"NDMC","Central","B-59-P","Lodhi Road X ing","Max Mueller Marg","Khan Mkt","28.591656, 77.223548"
114,"NDMC","Central","B-60-P","Max Mueller Marg","Max Mueller Marg","Khan Mkt","28.595855, 77.223300"
115,"NDMC","Central","B-61-P","Max Mueller Marg","Max Mueller Marg","Lodhi Colony","28.595460, 77.223451"
116,"NDMC","Central","B-62-P","Prithvi Raj Road","Prithvi Raj Road","S J Madarsa","28.596592, 77.217653"
117,"NDMC","Central","B-64-P","Udyog Bhawan","Rafi Ahmed Kidwai Marg","Akashwani Bhawan","28.612676, 77.211898"
118,"NDMC","Central","B-66-P","Udyog Bhawan","Rafi Ahmed Kidwai Marg","G Block","28.612664, 77.212262"
119,"NDMC","Central","B-68-P","Sardar Patel Marg","Sardar Patel Marg","Mother Teresa Crescent","28.597496, 77.171800"
120,"NDMC","Central","B-69-P","Bapu Dham","Sardar Patel Marg","Mother Teresa Crescent","28.599300, 77.175249"
121,"NDMC","Central","B-70-P","Bapu Dham","Sardar Patel Marg","Dhaula Kuan","28.599178, 77.175684"
122,"NDMC","Central","B-71-P","Railway Colony","Sardar Patel Marg","Dhaula Kuan","28.600771, 77.178507"
123,"NDMC","Central","B-72-P","Railway Colony","Sardar Patel Marg","Mother Teresa Crescent","28.600638, 77.177983"
124,"NDMC","Central","B-73-P","Bhartiya Sadhu Samaj","Sardar Patel Marg","Dhaula Kuan","28.603770, 77.184257"
125,"NDMC","Central","B-74-P","Bhartiya Sadhu Samaj","Sardar Patel Marg","Mother Teresa Crescent","28.603818, 77.184057"
